nome_planilha;nome_canonico;ocorrencias_na_planilha
DOUGLAS;Douglas;329
ROGERIO;Rogerio;321
RAFAEL;Rafael;196
PEDRO;Pedro;142
MATHEUS;Matheus;138
JONATAS;Jonatas;128
PEDRO PAULO;Pedro Paulo;115
PRISCILLA;Priscilla;88
LEANDRO;Leandro;79
LORENA;Lorena;75
YASMIN;Yasmin;71
LEANDRO DE JESUS;Leandro DE Jesus;59
PAULO ROGERIO;Paulo Rogerio;57
VIVIANE;Viviane;41
ROQUE;Roque;36
DOUGLAS MARTINS;Douglas Martins;35
GUILHERME;Guilherme;24
LEANDRO S;Leandro S;24
RAFAEL ALMEIDA;Rafael Almeida;17
MARCOS;Marcos;15
PAULO;Paulo;14
LEANDRO SANTOS;Leandro Santos;13
PAULO R;Paulo R;12
MARCOS PAULO;Marcos Paulo;9
LEANDRO JESUS;Leandro Jesus;7
GEFERSON;Geferson;6
LUCAS;Lucas;6
PEDRO P;Pedro P;6
NOVA LIMA;Nova Lima;5
PRICILLA;Pricilla;5
RONDON;Rondon;5
SILVIO;Silvio;5
CLESIO;Clesio;4
DAVIDDE;Davidde;4
DOUGLAS M;Douglas M;4
JERONIMO;Jeronimo;4
JOANATAS;Joanatas;4
LEONARDO (CONTAGEM);Leonardo (contagem);4
REGIANE;Regiane;4
ROGERIO BH;Rogerio BH;4
SGT ROGÉRIO;SGT Rogério;4
CARLOS;Carlos;3
GEFERSON (BH);Geferson (bh);3
GEFFERSON;Gefferson;3
JAIME BH;Jaime BH;3
LUDMILA;Ludmila;3
YASMIM RIBEIRO;Yasmim Ribeiro;3
ERNANE (DCBH);Ernane (dcbh);2
ERNANI;Ernani;2
EULER;Euler;2
GEFERSON BH;Geferson BH;2
LEANDRO J;Leandro J;2
NÃO ESPECIFICADO;NÃO Especificado;2
PEDROPAULO;Pedropaulo;2
PRISCILLA R;Priscilla R;2
ROGERIO (BH);Rogerio (bh);2
YASMIN RAFAEL;Yasmin Rafael;2
ANA PATRICIA MEZES DE OLIVEIRA;ANA Patricia Mezes DE Oliveira;1
CARLOS (DCBH);Carlos (dcbh);1
ERNANDE (DCBH);Ernande (dcbh);1
ERNANI BH;Ernani BH;1
EULER (BH);Euler (bh);1
GABRIELA;Gabriela;1
GABRIELA (DCBETIM);Gabriela (dcbetim);1
GABRIELA )BETIM);Gabriela )betim);1
GEFERSON (DCBH);Geferson (dcbh);1
GEFERSON ERNANI BH;Geferson Ernani BH;1
GEFESON (BH);Gefeson (bh);1
GEFFERSON (BH);Gefferson (bh);1
GERFESON (BH);Gerfeson (bh);1
GUILHERME CUNHA;Guilherme Cunha;1
JAIME;Jaime;1
JAIME (BH);Jaime (bh);1
JAINE BH;Jaine BH;1
JOANTAS;Joantas;1
LANDRO;Landro;1
LEANDRO DOS SANTOS;Leandro DOS Santos;1
LEONARDO;Leonardo;1
LUCAS ALVES;Lucas Alves;1
LUCAS.;Lucas.;1
LUDIMILA;Ludimila;1
MARCOS PAULO BH;Marcos Paulo BH;1
PAILO;Pailo;1
PAULO R LEANDRO S;Paulo R Leandro S;1
PAULO R.;Paulo R.;1
PAULO ROGERIO PEDRO PAULO;Paulo Rogerio Pedro Paulo;1
PEDRO PAULOE LEANDRO JESUS;Pedro Pauloe Leandro Jesus;1
PRICILLA A;Pricilla A;1
PRISCILA (BETIM);Priscila (betim);1
PRISCILA R;Priscila R;1
PRISICLLA;Prisiclla;1
RAFAEL DE ALMEIDA;Rafael DE Almeida;1
RAFAL;Rafal;1
RDOUGLAS;Rdouglas;1
ROFÉRIO;Rofério;1
ROGERI BH;Rogeri BH;1
ROGÉRIO MATHEUS;Rogério Matheus;1
ROGERIO PEDRO PAULO;Rogerio Pedro Paulo;1
SARGENTO;Sargento;1
TASMIN;Tasmin;1
WILLIAN (FISCALIZAÇÃO);Willian (fiscalização);1
YASMIN. SUELLE;Yasmin. Suelle;1
RAFEL;Rafael;1
DEMAIS SECRETARIAS;;1
